"Time (UTC)","Gender","Age","Geography","Urban Density","Income","Weight","Screener Answer","Answer"
"2012-11-06 10:02:28","Female","55-64","US-SOUTH-GA-Druid-Hills","Suburban","$25,000-$49,999",0.4507708,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:02:28","Female","55-64","US-WEST-WA-Tacoma","Urban","$25,000-$49,999",0.5122865,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 10:02:33","Male","35-44","US-WEST-NV-Reno","Suburban","$0-$24,999",1.5133354,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:02:47","Unknown","Unknown","US-SOUTH-NC-Charlotte","Suburban","$25,000-$49,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:02:59","Female","25-34","US-MIDWEST-OH-Youngstown","Urban","$0-$24,999",0.9362303,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:03:11","Female","55-64","US-NORTHEAST-PA-Chambersburg","Suburban","$25,000-$49,999",0.8150521,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:03:30","Male","25-34","US-WEST-NM-Albuquerque","Urban","$25,000-$49,999",0.8522426,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 10:03:37","Female","55-64","US-NORTHEAST-MA-Worcester","Urban","$25,000-$49,999",0.8150521,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:03:43","Female","45-54","US-SOUTH-FL-Poinciana","Rural","$25,000-$49,999",0.8288947,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:04:18","Female","25-34","US-SOUTH-FL-St.-Petersburg","Urban","$25,000-$49,999",1.0065915,"Barack Obama / Joe Biden, the Democrats","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:04:36","Male","18-24","US-WEST-OR-Corvallis","Suburban","$25,000-$49,999",1.177885,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:04:36","Male","45-54","US-MIDWEST-OH-South-Point","Suburban","$25,000-$49,999",1.1327092,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:04:35","Male","25-34","US-NORTHEAST-MA-Wilmington","Urban","$50,000-$74,999",1.1159799,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 10:04:38","Unknown","Unknown","US-WEST-WA-Tacoma","Urban","$25,000-$49,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:04:40","Male","65+","US-NORTHEAST-PA-Baldwin","Urban","$25,000-$49,999",1.7463493,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:04:45","Female","55-64","US-SOUTH-LA-Alexandria","Rural","$25,000-$49,999",0.4507708,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:05:15","Female","45-54","US-WEST-CO-Denver","Urban","$25,000-$49,999",0.7264175,"Third party candidate / Undecided","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:05:42","Male","18-24","US-SOUTH-LA-Alexandria","Rural","$25,000-$49,999",1.1916284,"Barack Obama / Joe Biden, the Democrats","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:05:45","Female","18-24","US-NORTHEAST-VT-Burlington","Suburban","$25,000-$49,999",0.6704847,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:09:19","Male","18-24","US-MIDWEST-OH-Columbus","Urban","$0-$24,999",1.1154767,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:09:18","Female","18-24","US-SOUTH-MS-Natchez","Suburban","$25,000-$49,999",0.6743839,"Barack Obama / Joe Biden, the Democrats","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:09:45","Unknown","Unknown","US-NORTHEAST-PA-Philadelphia","Urban","$0-$24,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:09:57","Female","65+","US-WEST-CA-Stockton","Urban","$0-$24,999",1.0223087,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:10:25","Female","55-64","US-MIDWEST-MN-Elbow-Lake","Rural","$25,000-$49,999",0.3894083,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:10:27","Unknown","Unknown","US-SOUTH-NC-Gastonia","Urban","$25,000-$49,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:10:52","Female","55-64","US-SOUTH-MS-Bay-St.-Louis","Suburban","$25,000-$49,999",0.4507708,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:10:59","Female","55-64","US-WEST-NV-Sunrise-Manor","Suburban","$25,000-$49,999",0.5122865,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:11:12","Female","45-54","US-SOUTH-FL-Palmetto-Bay","Urban","$25,000-$49,999",0.8288947,"Barack Obama / Joe Biden, the Democrats","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:11:08","Female","55-64","US-NORTHEAST-PA-Bethlehem","Suburban","$25,000-$49,999",0.8150521,"Mitt Romney / Paul Ryan, the Republicans","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:11:15","Female","55-64","US-SOUTH-TN-Knoxville","Suburban","$25,000-$49,999",0.4507708,"Mitt Romney / Paul Ryan, the Republicans","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:12:58","Female","65+","US-MIDWEST-OH-Van-Wert","Suburban","$25,000-$49,999",0.6473189,"Mitt Romney / Paul Ryan, the Republicans","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:16:44","Female","65+","US-MIDWEST-MO-St.-Joseph","Suburban","$25,000-$49,999",0.6473189,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:17:56","Male","55-64","US","Unknown","Unknown",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:18:16","Unknown","Unknown","US-SOUTH-NC-Charlotte","Suburban","$25,000-$49,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:18:25","Male","55-64","US-SOUTH-FL-Jacksonville","Urban","$0-$24,999",1.4908022,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:19:23","Female","55-64","US-SOUTH-KY-Fort-Mitchell","Urban","$50,000-$74,999",0.4507708,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:19:42","Female","55-64","US-SOUTH-OK-Oklahoma-City","Suburban","$25,000-$49,999",0.4507708,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:20:16","Male","45-54","US-SOUTH-NC-Durham","Suburban","$50,000-$74,999",1.7143315,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:24:20","Unknown","Unknown","US-WEST-NM-Albuquerque","Urban","$25,000-$49,999",,"Third party candidate / Undecided","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:24:40","Male","65+","US-SOUTH-NC-Matthews","Suburban","$50,000-$74,999",1.2413651,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:25:05","Female","55-64","US-MIDWEST-MO-Clinton","Suburban","$25,000-$49,999",0.3894083,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:25:46","Male","25-34","US","Unknown","Unknown",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:25:48","Male","45-54","US-SOUTH-AL-Rainsville","Rural","$25,000-$49,999",1.7143315,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:25:48","Male","55-64","US-MIDWEST-IL-Oregon","Rural","$25,000-$49,999",1.1743572,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:25:58","Unknown","Unknown","US-MIDWEST-MI-Dearborn","Urban","$25,000-$49,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:26:15","Female","25-34","US-SOUTH-LA-Alexandria","Rural","$25,000-$49,999",1.0065915,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:26:59","Female","55-64","US-SOUTH-OK-Oklahoma-City","Suburban","$0-$24,999",0.4507708,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:27:17","Male","18-24","US-WEST-WA-Walla-Walla","Suburban","$25,000-$49,999",1.177885,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:31:07","Female","65+","US-SOUTH-TX-North-Richland-Hills","Urban","$50,000-$74,999",1.0581287,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:31:31","Male","25-34","US-NORTHEAST-NY-New-York","Urban","$50,000-$74,999",1.1159799,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:31:47","Unknown","Unknown","US-SOUTH-AR-Hot-Springs","Suburban","$25,000-$49,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:32:23","Female","55-64","US-SOUTH-TX-Houston","Urban","$25,000-$49,999",0.4507708,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:32:31","Male","25-34","US-WEST-CA-Fremont","Suburban","$50,000-$74,999",0.8522426,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:32:56","Unknown","Unknown","US-WEST-CO-Glenwood-Springs","Suburban","$25,000-$49,999",,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:32:58","Male","55-64","US-WEST-NM-Albuquerque","Urban","$25,000-$49,999",1.1776471,"Mitt Romney / Paul Ryan, the Republicans","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:33:14","Female","65+","US-NORTHEAST-NY-New-York","Urban","$50,000-$74,999",1.999801,"Barack Obama / Joe Biden, the Democrats","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:33:30","Unknown","Unknown","US-MIDWEST-MI-Oxford-Charter-Township","Suburban","$50,000-$74,999",,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 10:34:06","Female","45-54","US-SOUTH-MS-Natchez","Suburban","$25,000-$49,999",0.8288947,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:34:32","Unknown","Unknown","US-SOUTH-FL-New-Port-Richey","Urban","$25,000-$49,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:34:32","Female","18-24","US-NORTHEAST-MA-Groton","Rural","$75,000-$99,999",0.6704847,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:37:50","Male","35-44","US-NORTHEAST-CT-Avon","Suburban","$75,000-$99,999",2.2276999,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:37:55","Male","45-54","US-MIDWEST-MN-Evansville","Rural","$25,000-$49,999",1.1327092,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:38:09","Female","55-64","US-SOUTH-LA-Natchitoches","Suburban","$25,000-$49,999",0.4507708,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:38:15","Female","65+","US-SOUTH-FL-West-Palm-Beach","Urban","$25,000-$49,999",1.0581287,"Mitt Romney / Paul Ryan, the Republicans","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:38:22","Female","18-24","US-WEST-CA-Merced","Suburban","$25,000-$49,999",0.5860146,"Barack Obama / Joe Biden, the Democrats","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:38:54","Male","65+","US-SOUTH-NC-Greenville","Suburban","$25,000-$49,999",1.2413651,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:39:44","Male","18-24","US-WEST-CA-Auburn","Suburban","$25,000-$49,999",1.177885,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:40:57","Female","45-54","US-SOUTH-VA-Fredericksburg","Suburban","$25,000-$49,999",0.8288947,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:46:32","Female","45-54","US-NORTHEAST-MA-Pittsfield","Suburban","$25,000-$49,999",1.105404,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:46:46","Female","25-34","US-MIDWEST-IL-Chicago","Suburban","$50,000-$74,999",0.9362303,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:47:18","Male","Unknown","US-NORTHEAST-PA-Monroeville","Urban","$25,000-$49,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:47:47","Female","35-44","US-SOUTH-MS-Mc-Comb","Suburban","$0-$24,999",1.3242941,"Mitt Romney / Paul Ryan, the Republicans","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 10:48:02","Unknown","Unknown","US-SOUTH-FL-Orlando","Urban","$25,000-$49,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:48:10","Male","55-64","US-SOUTH-SC-Lexington","Suburban","$50,000-$74,999",1.4908022,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:48:35","Female","65+","US-MIDWEST-IL-Dixon","Suburban","$25,000-$49,999",0.6473189,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 10:48:37","Female","55-64","US-SOUTH-NC-Waxhaw","Rural","$50,000-$74,999",0.4507708,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
